question,answer,intent,state,crop
sorghum (jowar/great millet) weed management in sorghum sown after 20 days crop can we spray atrazine chemical at this stage,"no recommendation is there in sorghum sown after 20 days crop, donot spray atrazine chemical at this stage",plant protection,telangana,sorghum (jowar/great millet)
others contact number of agriculture department of muddebihal,"o/o, assistant director of agriculture, muddebihal assistant director of agriculture o/o, assistant director of agriculture, muddebihal agriculture officer (tech-1) o/o, assistant director of agriculture, muddebihal agriculture officer (tech-2) o/o, assistant director of agriculture, muddebihal agriculture officer o/o, assistant director of agriculture, muddebihal agriculture officer o/o, assistant director of agriculture, muddebihal assistant agriculture officer o/o, assistant director of agriculture, muddebihal assistant agriculture officer o/o, assistant director of agriculture, muddebihal assistant agriculture officer o/o, assistant director of agriculture, muddebihal assistant agriculture officer o/o, assistant director of agriculture, muddebihal assistant agriculture officer o/o, assistant director of agriculture, muddebihal assistant agriculture officer",government schemes,karnataka,others
chillies shinwa tractor brand uses in chilli crop,"shinwa insecticide is an innovative solution for controlling lepidopteran, thrips, leaf miners, and other sucking pests in various crops.",plant protection,telangana,chillies
chillies dose of adama agadi fipronil 5% sc in chilli,recommended to spray adama agadi fipronil 5% sc 400 ml / 200 litres of water /acre,plant protection,telangana,chillies
paddy (dhan) contact number of pathology department tnau coimbatore,prof & head dept of plant pathology tnau 0422 6611226,training and exposure visits,kerala,paddy (dhan)
sweet potato fertilizer requirement of sweetpotato,"suggested that first dose has to be applied at the time of planting. the urea, rock phosphate, muriate of potash needed at this time is 5 gram, 15 gram, 10 gram respectively for a plant the second dose has to apply in 4-5 weeks after sowing and the dosage is 5 gram urea for a plant.-sweetpotato",nutrient management,kerala,sweet potato
paddy (dhan) fertilizer management in paddy rabi,"apply 225 kgs of ssp , 30 kgs of mop , 170 kgs of urea ( into 3 split doses ) . i.e at the time of sowing , 30 das and 60. das.",plant protection,telangana,paddy (dhan)
paddy (dhan) thrips and whiteflies management,thrips and whiteflies management :suggested to spray profenofos 40% + cypermethrin 4% ec @2ml/liter.,plant protection,karnataka,paddy (dhan)
sugarcane (noble cane) sugarcane seed and plant material availability;-,sugarcane seed and plant material availability ;-,cultural practices,telangana,sugarcane (noble cane)
tomato best sowing time of tomato and bhindi as rainy season crop,best sowing time of tomato and bhindi as rainy season crop ; june tp july,seeds and planting material,telangana,tomato
papaya management of fruit drop in papaya,suggested to spray borax 1gram in one litre of water,nutrient management,kerala,papaya
groundnut (pea nut/mung phalli) ground nut varieties and kvk ph no,"kadiri-6, kadiri-9, tga -24 & palem kvk ph: no : ,",varieties,telangana,groundnut (pea nut/mung phalli)
"others contact number of the assistant director of agriculture,koyilandy","the assistant director of agriculture , koyilandy, ,0496-2623826",training and exposure visits,kerala,others
mango hopper management in mango,recommended to spray dimethoate 400 ml /200 litres of water /acre,plant protection,telangana,mango
paddy (dhan) control of pest in paddy,recommended to spray quinolphos 2ml per lit of water for borers,plant protection,karnataka,paddy (dhan)
mango management of leaf caterpillar in mango,"in mango, spray azadirachtin (nimbecidin) @ 5ml/l",plant protection,kerala,mango
green gram (moong bean/ moong) sowing time of green gram crop of summer,sowing time of green gram crop of summer-feb to march 15,sowing time and weather,telangana,green gram (moong bean/ moong)
pigeon pea (red gram/arhar/tur) makret rate of pigeon pea,raichur 21/02/2025 red 4285 7005 7711,market information,karnataka,pigeon pea (red gram/arhar/tur)
mango management of leafwebber in mango,suggested to spray ekalux 1.5 ml per liter of water or beuveria bassiana 20 gram per liter of water,plant protection,kerala,mango
cotton (kapas) cotton white fly management ;-,recommended to spray acephate 300 grams/ 200 litres of water / acre,plant protection,telangana,cotton (kapas)
others effect of epsom salt on fruiting,suggested to apply potassium fertilizers for fruit development,nutrient management,kerala,others
paddy (dhan) fertilizer managmeent in paddy,recommended to apply urea 30 kgs and potash 20 kgs / acre,plant protection,telangana,paddy (dhan)
jack fruit management of magnesium deficiency in jackfruit,suggested to apply magnesium sulphate 300 gram per tree,nutrient management,kerala,jack fruit
maize (makka) maize shoot fly management ;-,recommended to spray imidacloprid 60 - 80 ml /200 litres of water / acre,plant protection,telangana,maize (makka)
rubber methods to increase latex production in rubber,"suggested to swab ethephon on newly tapped portion in march, august, september and november",cultural practices,kerala,rubber
cotton (kapas) cotton sowing season and varities?,"recommended to sow cotton on may-june american varities : n.a 1325, krishna,lk-861,l.ps -141 lam 603 ,lam 604,n.a 920 (priya ) etc., nellore,praksam district sowing season in cotton febrauary on above varities.",sowing time and weather,andhra pradesh,cotton (kapas)
pigeon pea (red gram/arhar/tur) red gram spotted pod borer management ;-,recommended to spray emamectin benzoate 90 grams /200 litres of water / acre (or) recommended to spray spinosad 45% sc 60 - 75 ml/200 litres of water / acre,plant protection,telangana,pigeon pea (red gram/arhar/tur)
paddy (dhan) paddy weed management ;- (dat -15 days),recommended to spray bispyribac sodium 100 ml/200 litres of water per acre,weed management,telangana,paddy (dhan)
jasmine jasmine sucking pest management ;-,recommended to spray thiamethoxam 40 - 60 grams /150 litres of water / acre,plant protection,telangana,jasmine
paddy (dhan) seed rate of paddy fine varieties,seed rate of paddy fine varieties ; 20 kgs / acre,seeds,telangana,paddy (dhan)
ginger seed treatment in ginger for pest managemen,it is suggested to dip in verticillium lecanii 20 gram/litre of water for 30 minutes,plant protection,kerala,ginger
maize (makka) row to row spacing of maize,spacing: 60cm x 20cm for row to row and plant to plant,sowing time and weather,telangana,maize (makka)
banana management of unfolding of leaf of banana,suggeted to apply lime @ 250g per plant. spray borax @ 1g per litre water.,nutrient management,kerala,banana
paddy (dhan) agriculture department number nampally mandal mao nalgonda dist,agriculture department number nampally mandal mao nalgonda dist ;,plant protection,telangana,paddy (dhan)
acid lime plant protection in acid lime.,recommended to spray quinolphos 50 ec. @ 2 ml per lit. water for defoliators.,plant protection,karnataka,acid lime
paddy (dhan) management of rice bug,suggested to spray fish amino acid 6ml per liters of water.,plant protection,kerala,paddy (dhan)
others good growth and development of paddy,suggest to spray 19:19:19 1kg and agromin max 600g per acre,nutrient management,andhra pradesh,others
green gram (moong bean/ moong) nutrient deficiency in green gram,recommended to spray calbor @ 400 gm per 200 litre of water per 1 acre of land and fantac plus @ 100 ml per 200 litre of water per 1 acre of land (8 ml per 15 litre of water ),plant protection,bihar,green gram (moong bean/ moong)
paddy (dhan) profenofos+cyper methrin (rocket) dosage?,recommended to spray profenofos+cyper methrin (rocket) 400 ml /200 litres of water / acre,plant protection,andhra pradesh,paddy (dhan)
turmeric fertilizer management in turmaric,--recommended fertilizer as mop 13kgn /acre,fertilizer use and availability,telangana,turmeric
mango sucking pest management mango crop,recommended to spray tolfenpyrad 15% ec(keefun) 400ml/200 liter of water,plant protection,telangana,mango
"cotton (kapas) market price of cotton ,redgram,groundnut","min price modal price max price andhra pradesh adoni cotton 6,000 8,083 8,083 qui 02-07-2025 andhra pradesh adoni ground nut 5,720 5,720 6,170 qui 02-07-2025 andhra pradesh adoni arhar whole / tur (red gram) 5,763 5,763 5,763 qui 02-07-2025",market information,andhra pradesh,cotton (kapas)
mango askede the cultural practice in mango.,suggested to do the pruning after the harvest of whole mango.,cultural practices,kerala,mango
others checking ph of soil with ph meter,"collect the soil and take 10 to 20 g in a glass vessel and mix the soil with distilled water in a specific ratio (e.g., 1:2 soil to water) i.e. 20 to 40 ml of water. insert the ph meter probe into the soil slurry and take a reading.",training and exposure visits,kerala,others
chillies nutrient management in chilly nursery,recommended to spray npk 19-19-19 mixture 5 grams/1 litre of water,nutrient management,telangana,chillies
pigeon pea (red gram/arhar/tur) pod borer pest management,profenofos 40 cypermethrin 4 ec 2ml/lit of water,plant protection,karnataka,pigeon pea (red gram/arhar/tur)
teak fertilizer management in teak?,--recommended to apply dap 400 gms/1 tree 3 rd year,fertilizer use and availability,andhra pradesh,teak
others queyr pm kisan samman nidhi beneficiary status ?,ap141364461 reason of ineligiblity : head of the family already receives the benefit of the scheme. kurnool b.usha rani .,government schemes,andhra pradesh,others
pepper avout the application of micronutrient for pepper.,suggested to apply micronutrient mix 10g per plant.,nutrient management,kerala,pepper
coconut planting operations of coconut,suggested to pits of average size 1m x 1m x 1 m . the spacing of coconut ranges from 7.5 m to 9 m depending on method of planting.the pits should be filled up with top soil to a height 60 cm below the ground level. organic manure @ 25 kg/plant should be applied at the time of planting.plant the seedlng in the centre of the pit.,cultural practices,kerala,coconut
chillies neem oil in chilli management,recommended to spray neem oil 1500 ppm - 1 litre / 200 litres of water / acre,plant protection,telangana,chillies
drum stick stem rot management in drum stick,recommended to spray copper oxy chloride (blue copper) 600 gm /200 litres of water / acre,plant protection,telangana,drum stick
others pesticide spraying in crop plant after rain fall how many hours;-,pesticide spraying in crop plant after rain fall ( how many hours);- 6 hours,cultural practices,telangana,others
chillies cultural practices in chilli?,"recommended to apply fym,vermi compost etc., deep ploughing should be done",cultural practices,andhra pradesh,chillies
cotton (kapas) sowing season of cotton,the irrigated crop is sown from march-may and the rain fed crop in june-july with the commencement of the monsoon.,sowing time and weather,karnataka,cotton (kapas)
paddy (dhan) weed management in paddy at 4-5 leaf stage,"recommended to do hand weeding , no chemicals recommended at this stage",weed management,telangana,paddy (dhan)
arecanut immature nut fall in arecanut,suggested to apply 20g borax per palm per year. for immediate result spray borax 1g per litre water,nutrient management,kerala,arecanut
brinjal brinjal sucking pest managerment ;-,recommended to spray imidacloprid 60 ml /200 litres of water / acre,plant protection,telangana,brinjal
chillies quer on hydrogen peroxide uses,not recommended and you used 0.0057ml/liter of water,plant protection,telangana,chillies
ash gourd (petha) which vegetables to grow in june?,"recommended to sow beet root ,beans,carrot,lettuce,tomato and gourds etc.,",cultural practices,andhra pradesh,ash gourd (petha)
cotton (kapas) weather for water management in cotton,"the current weather in choutuppal, yadadri bhuvanagiri, telangana is 28°c with cloudy conditions. there is a 24% chance of precipitation, 73% humidity, and wind speed of 12 km/h. the weather forecast for choutuppal, yadadri bhuvanagiri district, telangana from friday, august 30, 2024, to tuesday, september 3, 2024, is as follows: - friday, august 30: max temperature: 31°c, min temperature: 23°c, rainfall: 16mm, mostly cloudy skies, max humidity: 81%, min humidity: 59%, wind speed: 18 kmph (nw). - saturday, august 31: max temperature: 26°c, min temperature: 22°c, rainfall: 20mm, overcast skies, max humidity: 89%, min humidity: 81%, wind speed: 15 kmph (w). - sunday, september 1: max temperature: 28°c, min temperature: 22°c, rainfall: 4mm, overcast skies, max humidity: 87%, min humidity: 77%, wind speed: 25 kmph (nw). - monday, september 2: max temperature: 29°c, min temperature: 22°c, rainfall: 0mm, overcast skies, max humidity: 81%, min humidity: 70%, wind speed: 30 kmph (nw). - tuesday, september 3: max temperature: 30°c, min temperature: 22°c, rainfall: 0mm, overcast skies, max humidity: 83%, min humidity: 67%, wind speed: 27 kmph (nw).",water management,telangana,cotton (kapas)
cowpea (vegetable) management of aphids in cowpea,suggested to spray azadirachtin 5 ml per liter of water,plant protection,kerala,cowpea (vegetable)
others pm kisan samman nidhi application status.,status pending for approval at sub-district/block level,government schemes,andhra pradesh,others
others crop duration and yield of green gram and black gram,green gram - crop duration - 58 - 75 days yield - 4 - 6 qnt / acre black gram - crop duration - 70 - 85 days yield - 4 - 7 qnt / acre,cultural practices,telangana,others
chillies chilli -devanur deluxe market information,"min price modal price max price andhra pradesh guntur chilli-devanuru delux 7,000 12,800 15,500",market information,andhra pradesh,chillies
nutmeg immature nut fall in nutmeg,suggested to drench hexaconazole 1ml in one litre of water.,plant protection,kerala,nutmeg
chillies use of azoxystrobin 18.2% + difenoconazole 11.4% sc (amister top)in chilli,recommended to spray azoxystrobin 18.2% + difenoconazole 11.4% sc (amister top) 200 ml /200 litres of water /acre,plant protection,telangana,chillies
pepper cultural practices in pepper,"--dig the pits size of 1.5 cubic feet from 1 feet away from the arecanut fill the pits with top soil, 5 kg farm yard manure and 150 g. of super phosphate mix it properly. apply 1 kg neem cake and 50 g. trichograma harzianum bio agent to the pit and plant rooted pepper cuttings.",cultural practices,karnataka,pepper
pigeon pea (red gram/arhar/tur) qury on red gram variety icph 2433 information,icph 2433 - crop duration - 140 - 160 days yield - 2996 kg/ha it is resistant to mosaic and wilt disease,varieties,telangana,pigeon pea (red gram/arhar/tur)
cotton (kapas) cotton weed management at 45 days,do not spray any herbicide at 45 days,weed management,telangana,cotton (kapas)
bhindi(okra/ladysfinger) bhindi mite management ;-,recommended to spray wettable sulphur 600 grams/200 litres of water / acre (or) recommended to spray dicofol 1 litre /200 litres of water /acre (or) recommended to spray spiromesifen 200 ml/200 litres of water /acre,plant protection,telangana,bhindi(okra/ladysfinger)
black gram (urd bean) black gram sucking pest management ;- ;-,recommended to spray acephate 300 grams/ 200 litres of water / acre,plant protection,telangana,black gram (urd bean)
"castor (rehri, rendi, arandi) boron can apply through drip",boron is suitable for drip irrigation and application ideal dose 2-3 kg per acre.,nutrient management,andhra pradesh,"castor (rehri, rendi, arandi)"
cowpea (vegetable) management of anthracnose in cowpea,spray mancozeb 75 wp (3 gram/litre of water) or carbendazim 50 wp (1 gram/litre of water),plant protection,kerala,cowpea (vegetable)
pomegranate pomegranate nutrient management ?,recommended to spray npk 19-19-19 mixture 5 grams/1 litre of water (1kg/acre) recommended to spray potassium nitrate 13-0-45 @ 5 grams/1 liter of water(1kg/acre).,nutrient management,andhra pradesh,pomegranate
others pm kisan 19th instalment date ;-,"the 19th installment of the pm-kisan scheme is expected to be released in february 2025, based on previous patterns. beneficiaries should complete their e-kyc via the pm-kisan portal or a csc to ensure timely payment.",government schemes,telangana,others
others telangana sim -1 did test cal by supervisor,telangana sim -1 did test cal by supervisor,training and exposure visits,telangana,others
satawar contacts of iihr for planting material,"dr.r.raju, senior scientist & nodal officer, agricultural technology information centre, division of social sciences and training, icar-iihr, hesaraghatta lake post, bengaluru 560089. phone: 080-28446815/23086100 ext no.456,422 mobile/whatsapp : + email : atic.iihr@icar.gov.in",seeds and planting material,karnataka,satawar
maize (makka) compatibility b/w nutrient and herbicide ?,there is no compatibility b/w nutrient and herbicide.,weed management,telangana,maize (makka)
"dhaincha after ploughing of ssp in field , when we should transplant the paddy crop","after ploughing of ssp in field , with in 15-20 days after we can transplant the paddy crop",plant protection,telangana,dhaincha
groundnut (pea nut/mung phalli) groundnut seeds availability ?,"dr. v. sumathi , southern zone , associate director of research rars, tirupati – 517 502 , 83099 71346 , , adr.rarstpt@angrau.ac.in",seeds,telangana,groundnut (pea nut/mung phalli)
pepper the management of nitrogen deficiency in pepper.,suggested to spray urea 5g/l in pepper.,nutrient management,kerala,pepper
others not crediting installments of pm kisan samman nidhi scheme,kindly check bank account statement of hdfc account ending with 1840,government schemes,kerala,others
cowpea (vegetable) management of bacterial wilt in cowpea,suggested to spray copper oxy chloride 3g per liters of water,plant protection,kerala,cowpea (vegetable)
tapioca (cassava) management of tuber rot in tapioca,suggested to drench the soil with carbendazim 1 gram per litre of water,plant protection,kerala,tapioca (cassava)
others dhaincha seeds (sesbania aculeata) seed rate ?,"and preparation - ploughed land thoroughly before monsoon to bring soil to fine tilth. after ploughing, make soil weed and stubble-free. then levelled soil properly. add 3-4 tons/acre of well-decomposed cow dung at time of field preparation. harvesting - for green manure purposes bury the crop in soil when the crop is 40-60 days old. for grain purposes crop is ready to harvest from mid-october to early november depending upon the sowing period.",seeds,andhra pradesh,others
bitter gourd downey mildew disease management,spray 2.0 g metalaxyl /litre of water,plant protection,karnataka,bitter gourd
soybean (bhat) stem borer management in soyaban,recommended to spray emamectin benzoate (proclaim) 90 grams /150 litres of water / acre,plant protection,telangana,soybean (bhat)
chillies tobacco caterpiller in chilli,recommended to spray chlorantraniliprole (coragin) 60 ml/150 litres of water / acre,plant protection,telangana,chillies
pigeon pea (red gram/arhar/tur) market rate ofpigeon pea,raichur 26/05/2025 red 969 6770 6909,market information,karnataka,pigeon pea (red gram/arhar/tur)
onion aske duqery on onion price,"min price modal price max price andhra pradesh kurnool onion 2,387 2,387 2,387",market information,andhra pradesh,onion
chillies biovita liquid biofertilizer information ?,"biovita x usage and crops recommended crops: field crops, vegetables, fruits, plantation crops, flowers & pot plants, turf and lawns. dosage: 2 ml /1 l of water & 400 ml/ acre method of application: foliar application during vegetative, flowering and fruit development stage",nutrient management,andhra pradesh,chillies
brinjal wilt management in brinjal ?,recommended to spray bordeaux mixture 2% crop rotation should be followed applying neem cake on entire field,plant protection,andhra pradesh,brinjal
pepper nutrient management for bush paper,suggested to spray 19:19:19 fertilizer 5 g in one litre of water,nutrient management,kerala,pepper
cashew cashew nut inter cropping ;-,plough the interspaces after the receipt of rain and raise vegetable and either groundnut or pulses or minor millets till the trees reach bearing age.,cultural practices,telangana,cashew
others the insect management in bush mint.,suggested to spray neem garlic emulsion (20 ml neem oil + 20 gram garlic paste + 5 gram bar soap/litre of water).,plant protection,kerala,others
bengal gram (gram/chick pea/kabuli/chana) sowing time of bengal grma crop-,sowing time of bengal grma crop-october to november 15,sowing time and weather,telangana,bengal gram (gram/chick pea/kabuli/chana)
amaranthus/grain amaranthus application of npk fertilizer to amaranthus,suggested to apply npk fertilizer in soil,nutrient management,kerala,amaranthus/grain amaranthus
jack fruit control of fruit rot of jackfruit,suggested to spray pseuodomonas 20g per litre of water,plant protection,kerala,jack fruit
sugarcane (noble cane) cultural practices in sugarcane.,foliar spray spray the preparation on the standing crop for 4 times at 10 days interval drip irrigation mix the preparation in water required for 1 acre and use it for drip irrigation.,cultural practices,karnataka,sugarcane (noble cane)
fenugreek does it require to spray fungicide before harvesting,recommended not to spray any chemical before harvesting,plant protection,telangana,fenugreek
coconut diffrent varieties of coconut,"suggested coconut varieties are kerasree,keraganga,kerasankara,keramadhura(dwarf),traditional -komadan,kutyadi.",seeds and planting material,kerala,coconut
cotton (kapas) cotton cercospora leaf spot management ;-,recommended to spray ( carbendazim +mancozeb ) 400 gm / 200 lit of water /acre (or) recommended to spray copper oxy chloride 600 gm /200 litres of water / acre,plant protection,telangana,cotton (kapas)
paddy (dhan) paddy gandhi bug management ;-,recommended to spray chlorpyrifos 500 ml/200 litres of water / acre,plant protection,telangana,paddy (dhan)
sorghum (jowar/great millet) sucking pest in sorghum management,"decide dhanuka - etofenprox 6% + diafenthiuron 25% wg 500 grams acre/200 liters of water (tocontrol mites,white flies thrips)",plant protection,telangana,sorghum (jowar/great millet)
acid lime management of snail in acid lime and other vegetables,sprinkle copper sulphate or spray copper sulphate (10g/l),plant protection,kerala,acid lime
paddy (dhan) the mtu -5204 crop duration and yield-,"mtu -5204 -crop duration - 150 days, yield -28 qntl /per acre",varieties,telangana,paddy (dhan)
bhindi(okra/ladysfinger) the nutrient management of bhindi.,the second dose has to apply in one month after transplanting.,nutrient management,kerala,bhindi(okra/ladysfinger)
mango management of stem borer in mango,suggested to spray imidacloprid 17.8 sl 2-3 ml/10 litre of water,plant protection,kerala,mango
bottle gourd bottle gourd sowing season ?,season july and january are suitable for sowing,cultural practices,andhra pradesh,bottle gourd
tomato management of anthracnose in tomato,spray carbendazim 50 wp (1 gram/litre of water),plant protection,kerala,tomato
guava black spot in dragon fruit,recommended to spray pseudomonas 20g/l as foliar spray.,plant protection,kerala,guava
bottle gourd sowing time in bottle gourd,recommended sowing time in bottle gourd :january-febuary,cultural practices,telangana,bottle gourd
carrot sowing time of carrot,sowing time of carrot : october -november suitable. january - february and june- july can also suitable.,field preparation,karnataka,carrot
green gram (moong bean/ moong) weed management in greengram,"grass weeds+ooda gaddi quizalofop-p-ethyl (dhanuka -targa super) 400 ml,propaquizapop ( agil) 250 m,fenoxaprop-p-ethyl (vip super/puma super) 250 ml",weed management,andhra pradesh,green gram (moong bean/ moong)
groundnut (pea nut/mung phalli) kadiri-6 crop duration ?,recommended to groundnut kadiri-6 crop duration 100-105 (kharif) 110-115 (rabi),seeds,andhra pradesh,groundnut (pea nut/mung phalli)
cotton (kapas) cotton nutrient managerment ;-,"isabion is a natural biostimulant that contains a balanced mix of amino acids and peptides, designed to promote plant growth and improve crop yield and quality. it is derived from natural sources and can be used on various crops, including fruit trees, vegetables, and field crops. key features and benefits: biostimulant: isabion is a natural biostimulant, meaning it helps plants overcome abiotic stresses and enhances their natural processes for better growth and development. amino acids and peptides: it contains a well-balanced mixture of short-chain peptides, long-chain peptides, and free amino acids. easy absorption: the product is easily absorbed by plants when applied to the leaves or soil. improved yield and quality: isabion helps increase yield and improve the quality of produce. stress tolerance: it aids plants in recovering from stress caused by factors like hail, chemicals, pests, diseases, and drought. versatile application: suitable for various crops including fruit trees, vegetables, and field crops. natural origin: the amino acids in isabion are derived from natural sources. enhanced nutrient uptake: it improves the plant's ability to absorb nutrients. improved stress resistance: isabion enhances the plant's ability to withstand various environmental stresses.",nutrient management,telangana,cotton (kapas)
soybean (bhat) sucking pests on soyabean,recommended to spray acephate(arthin) 300 grams/ 200 litres of water / acre,plant protection,telangana,soybean (bhat)
paddy (dhan) paddy zinc deficeicy management,recommended to spray zinc sulphate 2 gram / 1 liter of water,plant protection,telangana,paddy (dhan)
others soil testing lab address ?,"name of the lab address mobile number 1 stl ongole ada soil testing lab sanskema complex, opposite social forestry office, ongole 523001 - 2 amc kandukur amc soil testing lab agricultural market committee complex opposite court complex kandukur 523105 - 3 amc markapuram amc soil testing lab agricultural market committee complex markapur 523316 - 4 mstl giddalur o/o assistant director of agriculture near andhra bank, yadava nagar giddalur-523357",soil testing,andhra pradesh,others
drum stick drum stick irrigation management ?,irrigation irrigate before sowing and on the 3rd day after sowing and subsequently at 10 – 15 days interval according to soil type.,"water management, micro irrigation",andhra pradesh,drum stick
chillies nutrient management iun chilli,recommended to spray ferrous sulphate 5 grams+ citric acid 1 grams/1 litre of water,plant protection,telangana,chillies
bottle gourd weed management in bottle gourd?,recommended to spray pendimethalin (stomp ) 1 ltr/acre 5 ml/1 ltr of water 24-48 hrs before,cultural practices,andhra pradesh,bottle gourd
others pm kisan 17th installment releasing date,17th installment may release in june to july,government schemes,andhra pradesh,others
sandal wood seedling preparation in sandal wood,"suggested to obtain fresh, viable seeds. treat the seeds with scarification or soaking to soften the seed coat. plant the treated seeds in well-draining, sterile potting mix. maintain a temperature of 77-86°f (25-30°c) and high humidity. keep the soil moist but not waterlogged. provide indirect light. be patient, as germination can take weeks to months. transplant seedlings when they're a few inches tall.",cultural practices,kerala,sandal wood
sesame (gingelly/til)/sesamum nutrient management in sesamum?,recommended to spray borax 3 gm/1 ltr of water 600 gm/acre,nutrient management,andhra pradesh,sesame (gingelly/til)/sesamum
others asking to pm-kisan status check,br265072456 fto processed :- yes payment status : 16th installment payment done bank name : state bank of india utr no. : reason for failed transaction / fto : ---- payment mode : aadhar account credited : ******6394 credited on : 24/02/2025,government schemes,bihar,others
mochai (lab-lab) pest management in fieldbean,suggested to spray emamectin benzoate @ 0.5 g/ltr of water,plant protection,karnataka,mochai (lab-lab)
pigeon pea (red gram/arhar/tur) weed management in redgram sown after 70 days crop,no herbiicides recommended at this stage in redgram sown after 70 days crop,plant protection,telangana,pigeon pea (red gram/arhar/tur)
others growth regulator requirement in rambutan,spray naa (planofix) @ 3-4 ml/ 10l,nutrient management,kerala,others
amarphophallus (surankand/elephant foot yam) manure requirement in elephant foot yam at the time of planting,"suggested to give organic manure, ash and bone meal at the time of planting of elephant foot yam",nutrient management,kerala,amarphophallus (surankand/elephant foot yam)
arecanut root grub management in arecanut,recommended to drench chloropyriphos 20 ec - 2 ml per lit. water,plant protection,karnataka,arecanut
papaya the details of papaya planting.,"papaya is propagated through seeds. the recommended seed rate is 100 gram/acre. the best time for raising seedlings is from february to march. around 1000 plants can be accommodated in an acre. papaya seedlings raised in polythene bags are better than those raised in seedbeds. two seeds are sown in each bag and after germination, only one seedling is retained. vegetative propagation by mound layering is also possible. pits of size 50 cm x 50 cm x 50 cm are taken and filled with topsoil. two months old seedlings are transplanted. the ideal planting time is may-june. the recommended spacing is 2 m x 2 m. seedlings are given shade to protect them from excessive sunlight until they establish.",field preparation,kerala,papaya
cotton (kapas) admire insecticide dosage information,admire insecticide dosage information ; 0.3 grams / litre of water,plant protection,telangana,cotton (kapas)
chillies dosage of diafenthiuron 25% + pyriproxyfen 5% se ?,technical name diafenthiuron 25% + pyriproxyfen 5% se dose/acre 500 ml/acre,plant protection,telangana,chillies
pigeon pea (red gram/arhar/tur) fertilizer application in red gram,recommended to apply 18 kg urea + 100 kg ssp per acre,fertilizer use and availability,telangana,pigeon pea (red gram/arhar/tur)
bhindi(okra/ladysfinger) nutrient management in bhendi?,recommended to spray agromin max 600 gm/acre 3 gm/1 ltr of water 19-19-19 1 kg/acre,nutrient management,andhra pradesh,bhindi(okra/ladysfinger)
others building a farmers group,the assistant director of agriculture (ada) poothrika,government schemes,kerala,others
pigeon pea (red gram/arhar/tur) plant protection in redgram.,recommended to spray :- saaf ( mancozeb + carbendazim) 2 g per litre of water.,plant protection,karnataka,pigeon pea (red gram/arhar/tur)
bitter gourd ridegourd and bitter gourd sowing time ;-,ridegourd and bitter gourd sowing time ;- january - february,cultural practices,telangana,bitter gourd
265 the management of calcium and boron deficiency in banana.,suggested to spray calcium nitrate 2g and borax 1g in 1l water.,nutrient deficiency/excessiveness management,kerala,265
groundnut (pea nut/mung phalli) ground nut -adoni market information,"min price modal price max price andhra pradesh adoni ground nut 3,342 6,200 6,980",market information,andhra pradesh,groundnut (pea nut/mung phalli)
beans custodia + proclaim compatibility information ?,recommended to do test and spray,plant protection,andhra pradesh,beans
watermelon sucking pest in watermelon management,recommended to spray thiamethoxam (12.6%) + lambdacyhalothrin (alika) syngenta 80ml/200 liter of water/ acre,plant protection,telangana,watermelon
coconut nutrient management in coconut 4 year,"suggested to apply lime @ 0.5 kg soils two weeks ahead of fertilizer application.the first split has to be applied in april-june. the dosage is 250 gram urea, 350 gram rajphos, 450 gram muriate of potash respectively. the second dose has to be applied in september-october and the dosage is 250gram urea, 350 gram rajphos, 450 gram muriate of potash respectively. recommended to apply organic manure @ 25 kg/plant every year.",nutrient management,kerala,coconut
coconut quantity of borax to be applied for mature coconut,50g borax should be applied per palm,nutrient management,kerala,coconut
chillies chilli nutrient management >,"recommended to spray agromin max 3 grams liter of water ,planofix- 40-50 ml acre",nutrient management,andhra pradesh,chillies
coconut nutrient management of coconutt,"recommended to apply organic manure @ 25 kg/plant every year. open the coconut basin and apply lime @ 1 kg has to be applied in acid soils two weeks before of fertilizer application.the first split has to be applied in april-june. the dosage is 500 gram urea, 750 gram rajphos, 1 kg potash per palm respectively. the second dose has to apply in september-october and the dosage is 500 gram urea, 750 gram raj phos, 1kg potash per palm respectively. if it is 18:9:18,then apply 2.5kg 18:9:18 ,rajphos-500g,mop-500g",nutrient management,kerala,coconut
coconut management of calcium deficiency in coconut,suggested to apply lime 1 kg per tree 2 week before fertilizer application,nutrient management,kerala,coconut
maize (makka) the growing season of maize,may-june sept - oct jan - feb,sowing time and weather,karnataka,maize (makka)
maize (makka) decomposing of maize stubbles,recommended to apply ssp 100 kg/acre,fertilizer use and availability,telangana,maize (makka)
others management of flower dropping in gardenia,recommended to spray neem oil garlic emulsion (20ml neem oil+20g garlic+5g barsoap+1 litre water) or azadirachtin @ 5ml per litre water.,plant protection,kerala,others
mango nutrient management in mango.,suggested to spray planofix @ 5ml per 20 ltr of water.+ samruddi @ 3 ml/ltr of water,nutrient management,karnataka,mango
mango varieties and spacing in mango,"suggested varieties: mallika, amrapalli. neelgoa, neelshan, rathna spacing: 27*27 feet, 30*30 feet yield : 5-100 quintals (from 5 to 20years and above)",cultural practices,karnataka,mango
papaya papaya seed varieties information,"papaya seed varieties ; co -1, co-2, red lady, co-5, co-7,",plant protection,telangana,papaya
ash gourd (petha) contact number of kau sales outlet,"kau sales counter, primary phone 0487 237 0540",seeds and planting material,kerala,ash gourd (petha)
