question,answer,intent,state,crop
control of thrips in tomato,recommended him to apply rogor @ 2ml/lit of water spray 3 time at 5 days interval,unknown,unknown,unknown
the control of insects after harvesting of rice,told him to use neem leaves and dry under the sun until rice dry and use black pepper powder for controling insects in storage,unknown,unknown,unknown
artificial insemination,advised him to consult with state animal husbandry department,unknown,unknown,unknown
the recommended dose of plant nutrient,recommended dose of nutrient is 2ml/l water.s pray during flowering of crops,unknown,unknown,unknown
extraction process of jaggary from sugarcane,"told him to visit sugarcane research station, burhalikson, dergaon",unknown,unknown,unknown
management of poultry farming,advised him to go for regular vaccination and balanced ration,unknown,unknown,unknown
planting of chillies,advised him to go for regular vaccination and balanced ration,unknown,unknown,unknown
asking  about flowering in jack fruit,recommended him to apply planofix @ 1g/5 lit of water spray twice at 15 days interval,unknown,unknown,unknown
thr control of insect problem in tomato.,recommended him apply rogor @ 2ml per liter of water at an interval of 3 days for 3 times.,unknown,unknown,unknown
ai of pig,advised to skip first 2 cycle of estrous followed by go for ai with liquid semen,unknown,unknown,unknown
oestrous of a female pig,"told him to leave 3-4 oestrous cycle to get good conception rate , since the puberty is not the sexual maturity , puberty is the term which denotes  when the male & female is  capable to release gonad i.e ova ( graffian follicle -- due to oxytocin  ) from the overy  in case of female & spermatozoa  in case of male from seminiferous tuble of testis  [ sartoli & leidig cells ], the first release of ova from the overy may not capable for fertilization , several circles may require to get mature ova from overy -- that is why some cycles should be omitted toobtain  good litter size , the oestrous cycle is 18-21 days for sow & gilt",unknown,unknown,unknown
asking for the contact no of kvk golaghat,"dr. fakar uddin ali ahmed

senior scientist and head

contact no.: 9436227984",unknown,unknown,unknown
control of sun scald in tomato,recommended him to apply a cover or spray fungicides like mancozeb @ 2ml/lit of water  at 7 days interval,unknown,unknown,unknown
the control of bacterial wilit in potato.,recommended him to apply cristocycline @ 1 g per 5 liter of water at an interval of  7 days for 3 times.,unknown,unknown,unknown
control measure of bacterial wilt in potato,"told him to apply streptomycin @ 1 gram in 5 litres of water, twice at 7 days interval",unknown,unknown,unknown
the fertilizer requirement in king chilli.,"recommended him to apply 35 kg urea,  50 kg ssp,  14 kg mop  per  bigha of land.",unknown,unknown,unknown
liver supportive,advised to give livozyme fe or livjivan @ 2 tsf twice daily before feed,unknown,unknown,unknown
control of foot rot in pea,recommended him to apply saaf @ 2ml/lit of water spray twice at 5 days interval,unknown,unknown,unknown
planting season,recommended him to sow in may-june,unknown,unknown,unknown
lime and  potassium permanganate application in in pond water,told him to apply lime @ 20kg/bigha and apply kmno4 @ 350gm/bigha,unknown,unknown,unknown
leaf curl in tomato,"recommended to spray dimethoate 30ec @2ml/l water against leaf curl of tomato
spray fungicides saaf or contaf @2gm/l water",unknown,unknown,unknown
control of bacterial wilt  and fusarium wilt in chilli,"recommended to apply  streptomycin  @ 1g/5 lit of water spray twice at 5 days interval
for fungal wilt amister @ 2ml/lit of water spray 3 time at 5 days inetrval",unknown,unknown,unknown
coughing of chick,advised him to give tetracycline powder@15 gm per bird for 5 days,unknown,unknown,unknown
asking for the control of rust in pea,"recommended to spray ridomil gold @ 2 gram per litre of water 3 times at an interval of 5 days
spray malathion 25 ec @ 2 ml per litre of water 3 times at an interval of 5 days",unknown,unknown,unknown
control measure of flower dropping in coconut,told him to apply borax @ 40 gram per plant in a ring,unknown,unknown,unknown
fertilizer dose of boro dhan,"recommended to apply urea 18kg/bigha, ssp 27kg/bigha and mop 6kg/bigha",unknown,unknown,unknown
the fertilizer requirement for chilli.,"recommended him to apply 34 kg urea, 50 kg ssp and 13 kg mop per bigha of land.",unknown,unknown,unknown
the control of insects in mustard,told him to spray tricel 20 ec @ 2ml / l of water,unknown,unknown,unknown
quell,advised him to consult with krishi vigyan kendra,unknown,unknown,unknown
endecticide,advised to inject neomac @ 0.3 ml s/c ly  single shot,unknown,unknown,unknown
asking how to break dormancy in ridge gourd,"presoaking seed treatment with ga3 at the conc. of 100 ppm have been used for breaking seed dormancy
(for prepare 100 ppm solution of ga3, weigh 100 mg of ga3 & dissolve in a few drops of alcohol and make up the final volume (1000 ml) by adding distilled water).",unknown,unknown,unknown
the fertilizer requirement in arecanut,"recommended him to apply 140 g urea, 150 g ssp and, 125 g mop per bigha of land.",unknown,unknown,unknown
sowing of seeds,recommended to sow seeds in pit of size 30cm x 30 cm x 30 cm and sow 5 seeds/pit then after germination do thinning after 15 days,unknown,unknown,unknown
the fertilizer requirement in chilli.,"recommended him to apply 34 kg urea, 50 kg ssp,  13 kg mop per bigha of land.",unknown,unknown,unknown
control of  bacterial wilt,recommended him to apply streptomycin @ 1g/5 lit of water  spray twice at 7 days interval,unknown,unknown,unknown
asking micro algae control in fish pond,told him to apply copper sulphate @ 150gm/bigha or 2-4-d @ 250 gm/bigha can also apply simazine @ 200gn/bigha,unknown,unknown,unknown
asking for the harvesting time of potato,recommended to harvest once the leaves turn yellow and stem wilt,unknown,unknown,unknown
nutrient management in ahu rice,"told him to apply 6 kg urea, 9 kg ssp and 3 kg mop per bigha  for tall varieties",unknown,unknown,unknown
address of kvk golaghat,"krishi vigyan kendra, golaghat, golaghat, assam 785619
dr. fua ahmed
senior scientist and head
faahmed2005@gmail.com
9436227984",unknown,unknown,unknown
the control of tea mosquito bug in tea crop,to spray asataf 75 sp @ 2ml /liter of water,unknown,unknown,unknown
asking  about availability quail,advised him to consult with krishi vigyan kendra,unknown,unknown,unknown
control measure of fungal disease in bottle gourd,"told him to apply saaf @ 2 ml per litre of water, thrice at 4 days interval",unknown,unknown,unknown
medicine  ---      supply to the state veterinary dispensary,"told him to ask about the availability of the medicine supply in dispensing & compounding room /office of the respective hospital /dispensary . the supply of medicine is specific to every state veterinary hospital , dispessary generaly common medicine [ like antipyretic analgesic liver tonic / powder, anti diarrhoeal ,sterilizer ,minimum instrument & appliance ]are supplied through the local govt to the dvo office - to distributr them in sub center , hospital /all are dicide at the the time of making budget which & how much medicine would be supply to the state vety hospital in a financial year , the tender will placed by the contractor through the proper channel & it is availed in due course of time , it is not possible to supply all medicine to the dispensary /hospitalwhichare menctioned or  pescribed by the veterinary surgeon / practioner , insuch situation the surplus medicine should be supplied from private medicine stall to handle case /disease smoothly",unknown,unknown,unknown
spraying of vitamin for pea flowering,told him to spray planofix 1ml per l of water for proper flowering and for growth regulator,unknown,unknown,unknown
control measure of leag curl of ridge guard,told him  to spray rogor @  1 g per liter of water  and affected leaves should remove from the plant for transmission to healthy plant,unknown,unknown,unknown
organization of own  farmer training institute for cultivation and information of  cultivation,told him to visit agricultural district office  for better information,unknown,unknown,unknown
the fertilizer recommendation in chilli.,"recommended him to apply 5 kg urea, 6.5 kg ssp and 2 kg mop per bigha of land.",unknown,unknown,unknown
establishment of nursery,recommended to visit the nearby kvk,unknown,unknown,unknown
asking for the control of flower drop and fruit rot in bottle gourd,"recommended to spray planofix @ 1 ml per litre of water at an interval of 15 days spray malathion 25 ec @ 2 ml per litre of water 3 times at an interval of 5 days
spray zineb @ 2 gram per litre of water 3 times at an interval of 5 days",unknown,unknown,unknown
query   regarding  pregnency  diagnosis of a cow,told him to do the pregnency diagnosiswith the help of ultrasound method -if the apparatus is available /  after 35-45  day of insemination it can be conformed by rectal palpation  with the help of a veterinarion /,unknown,unknown,unknown
flower drop of pumpkin,told him to apply planofix 1mi/5lt of water,unknown,unknown,unknown
leaf minor,advised him to spray rogor @ 2 ml mixed with 1 liter of water  for 3 occasion at 5 days interval,unknown,unknown,unknown
asking for vitamin application in cucumber,"told him to apply tracel @ 2 ml per litre of water, twice at 15 days interval",unknown,unknown,unknown
control measure of insect attack in beans,told him to apply rogor @ 2 ml per litre of water,unknown,unknown,unknown
"the planting seasons of marigold,tube rose,dahlia,gladiolus,gerbera,zinnia  and portulaca","recommended seasons are for marigold-oct-nov,tube rose-feb-march,gladiolus-oct-march,gerbera-sept-oct,zinnia-march-april,portulaca-march-april.",unknown,unknown,unknown
imc carp farming practices,"suggestion
 dewatering of pond: 
-  ponds should be dried for 7 – 10 days or until the cracks develop on a clayey soil or until the stage when footprints do not form on a sandy soil.

2. eradication of control of predatory and weed fish:
bleaching powder : (46 kg/bigha) can be used. 
detoxification takes about 1 week.
after 1 week apply lime
3. liming 27 kg per bigha 
for annual requirement : 106 kg per bigha per year
apply lime at sunny day or noon
4. after10 or 14 days of liming : 
apply  160 kg/bigha. cowdung. mix the cowdung with water fisrt.
mothly@ cowdung 133 kg per bigha
apply raw cattle dung @  2000 kgs/bigha/yr: 

5. urea and ssp application: 
apply after 7 days of cow dung application
urea: 3 kg per bigha per month 7 days after cowdung application
ssp- 2.6 kg per bigha per moth along with urea (mix both with water)

urea 40 kg per bigha per year and ssp 30 kg per bigha per year
after 7 days start stocking fish 

seed stocking 
730 to 800 kg per bigha for fingerling 
or 4 lakh spawn per bigha",unknown,unknown,unknown
control of phytophthora leaf blight,recommended him to apply  carbendazim @ 2g/lit of water  spray 3 times at 5 days interval,unknown,unknown,unknown
control measure of curling leaves of capsicum,told him to spray rogor @ 1g per litre of water 3 times at an interval of 5 days,unknown,unknown,unknown
papaya var red lady,12 mar rainfall(mm) : 0 temp(max/min):0  / 0  humidity(max/min)0  / 0  wind:0,unknown,unknown,unknown
asking for the name of vitamin for application in fruits,recommended to spray trassel @ 2 ml per litre of water at an interval of 15 days 2 times,unknown,unknown,unknown
asking for the  control of  tomato leaf miner,recommended to spray tricel 20 ec ( chloropyriphos) 2 ml per litre of water 3 times at an interval of 5 days,unknown,unknown,unknown
control measure of flower dropping in pomegranate,"told him to apply planofix @ 1 ml in 5 litres of water, twice at 15 days interval",unknown,unknown,unknown
medicine,advised to apply rogor 2ml/liter water,unknown,unknown,unknown
seed storage of potato.,recommended him to apply maleic hydrazide @ 1 g per 5 liter of water.,unknown,unknown,unknown
pumpkin disease,advised to spray 2gram of saaf per liter water,unknown,unknown,unknown
fertilizer dose  and fungal disease,"recommended to apply 300gm @ ssp and 160gm @mop. age of plant should be 1-5 years old
against  fungal disease spray contaf @2gm/l water (200gm/200l /acre)",unknown,unknown,unknown
asking  about fertilizer dose of tomato,"recommended to apply urea 15kg/bigha, dap 18kg/bigha and mop 13kg/bigha",unknown,unknown,unknown
management of maggoted wound,advised him to apply turpin oil seaton in the wound for 24 hours then clean the wounded area and spray topicure spray,unknown,unknown,unknown
the control of fruit borer in chilli.,recommended him to apply rogor @ 2ml per liter of water. (400 liter per 200 liter of water for 1 acre of land),unknown,unknown,unknown
the control measure for flower dropping in chilli.,advised to spray planofix or ankur or nagamruta any one @ 1 ml/4.5 lit water.,unknown,unknown,unknown
deworming of piglet,"advised him to give panacur 1 gm bolus @ 1/3 rd of the bolus morning in the empty stomach repeat the same dose after 20 days, livozyme fe @ 2 ml orally twice daily before feed",unknown,unknown,unknown
asking for the control of leaf curl of capsicum,recommended to spray rogor @ 2 ml per litre of water 3 times at an interval of 5 days,unknown,unknown,unknown
nutrient requirement,"manures and fertilizers (per plant/year)

manures and fertilizers
1st year

2nd year onwards

fym

20 kg

50 kg

n

200 g

500 g

p

100 g

200 g

k

200 g

500 g",unknown,unknown,unknown
the control of bacterial wilt in ridge gourd.,recommended him to apply cristocycline @ 1 g per 5 liter of water.,unknown,unknown,unknown
control measure of rooting of pumpkin,"told him to apply saaf @ 2 ml per litre of water, thrice at 3 days interval
for ridge gourd - rogor @ 2 ml per litre of water",unknown,unknown,unknown
asking  about control of fruit fly,recommended to apply rogor or malathion 50 ec @ 2ml/lit of water spray 3 time at 5 days interval,unknown,unknown,unknown
c0ontrol of fruit flies,recommended him to apply  malathion 50 ec @ 1ml/lit of water spray twice at 5 days interval,unknown,unknown,unknown
the control of bacterial wilt of tomato.,recommended him to apply cristocycline @ 1g per 5 liters of water.,unknown,unknown,unknown
infection in some newly born piglets.,recommended him to inject imferon 3ml and dexona depending upon the size and and weight of the piglets. also told him to inject enrocion 15 ml.,unknown,unknown,unknown
control measure of rotting of bean,told him to apply saaf @ 2 ml per litre of water,unknown,unknown,unknown
planting time for ginger,recommended him to planting time at march-april,unknown,unknown,unknown
trunk borer in lemon,told him to apply malathion 50 ec  @ 2ml /lt of water,unknown,unknown,unknown
immature fruit fall and leaf curl in chillies,recommended to spray planofix @1ml/4.5l water and rogor or tapgor @ 2ml/l water for 3 days  at 5 dyas interval,unknown,unknown,unknown
control of  flower drop in pumpkin,recommended to apply planofix @ 1g/5 lit of water spray  2 time at 15days interval,unknown,unknown,unknown
feretilizer dose in pointed gourd,"told him apply urea-15kg, ssp-33kg and mop-11kg/bigha",unknown,unknown,unknown
asking for the remedy against bud rot of ridge gourd,"recommended  to spray malathion 50 ec @ 2 ml per litre of water 3 times at an interval of 5 days and
spray zineb @ 2 g per litre of water 3 times at an interval of 5 days",unknown,unknown,unknown
asking for the control of collar rot of chilli,recommended to spray blitox 50 w or copper oxy chloride @ 1 gram per litre of water 3 times at an interval of 5 days,unknown,unknown,unknown
"rainfall
(mm)	temp
(max/min)	humidity 
(max/min)	wind
07 apr	0	0  / 0	0  / 0	0
07 apr	0	0  / 0	0  / 0	0","rainfall
(mm)	temp
(max/min)	humidity 
(max/min)	wind
07 apr	0	0  / 0	0  / 0	0
07 apr	0	0  / 0	0  / 0	0",unknown,unknown,unknown
falling of hair in some piglet in a hampshire breed,told him to use anthalmintic in required dose / wash the body coat with potassium permanganate solution & apply topicure after wash,unknown,unknown,unknown
control of downy mildew in cucumber.,recommended him to apply ridomil @ 2 g per liter of water.,unknown,unknown,unknown
control of  of fruit rot,recommended to apply amister 1.5 ml/lit of water spray 3 time at 5 days interval,unknown,unknown,unknown
asking for the control of chilli anthracnose,"recommended to spray ridomil @ 2 gram per litre of water 3 times at an interval of 5 days
for flower drop spray planofix @ 1 ml per 5 litres of water 3 times at an interval of 5 days",unknown,unknown,unknown
dose of humic fertilizer,told him to apply @ 3-5 kg per bigha,unknown,unknown,unknown
control measure of blossom end rot of tomato,told him to apply gypsum @ 800 gram per bigha,unknown,unknown,unknown
asking for the control of damping off in brinjal,recommended to spray blitox 50 w or copper oxy chloride @  1 gram per litre of water 3 times at an interval of 5 days.spray it on the soil,unknown,unknown,unknown
control measure of leaf spot and leaf curl,spray saaf @ 2 g per lit of water for leaf spot and rogor @ 2 ml per lit of water for leaf curl,unknown,unknown,unknown
asking for the control of insect in chilli,recommended to spray malathion 50 ec@ 2 ml per litre of water 3 times at an interval of 5 days,unknown,unknown,unknown
brinjal variety,told pusa purple cluster jc 1 pusa vairab,unknown,unknown,unknown
pm kisan application process,"recommended to collect proper land document (<2 ha), bank pass book and adhar/pan/voter id and approach gram sevak at agriculture office.

application submission is going round the year.",unknown,unknown,unknown
pm kisan amount payment,recommended as the code of conduct is active therefore there will be delay in the processing of the amount from the bank end. but sure and certain will receive the amount.,unknown,unknown,unknown
bacterial  wilt of  tomato.,advised to spray  streptomycin  @ 1 gram / 10 liter water .,unknown,unknown,unknown
asked about broiler problem,veterinary  expert  not available,unknown,unknown,unknown
asked about the yellowing of pumpkin leaves,recommended to apply npk all @10gm /lit water,unknown,unknown,unknown
medicines that can be used instead of cifax,told him that he can use aquahealth and aquameen instead of cifax which is being used for eus disease in carp,unknown,unknown,unknown
asking for the control of pithium rot,recommended to spray copper oxy chloride @ 1 gram per litre of water 3 times at an interval of 5 days,unknown,unknown,unknown
mahafal,recommended to apply mahafal @ 2ml/lit of water spray 2 time at 15 days intyerval,unknown,unknown,unknown
kuroiler farming,"kuroilers, a dual-purpose breed producing meat and eggs, can live on a diet of kitchen and agricultural waste, and produce around 150 eggs per year whereas native indian hens lay only 40 per year. the meat yield per bird of kuroilers is also greater; males weigh approximately 3.5 kg (7.7 lb) and females about 2.5 kg (5.5 lb) whereas the native male bird weighs 2.5 kg (5.5 lb) and females 1.2 kg (2.6 lb). due to its unique genetic features, the kuroiler is resistant to diseases. the kuroiler chick is a potential bio-converter of no cost agricultural, household and natural waste abundant in villages — into human protein food and substantial incomes for rural households",unknown,unknown,unknown
the  leaf curl problem of chilli with insect problem,recommend to apply rogor @ 2ml/lit of water 2 times at 5 days interval,unknown,unknown,unknown
the funal problem of chilli plant  specially leaf spot disease,recommend to apply rogor @ 2ml/lit of water 2 times at 5 days interval,unknown,unknown,unknown
fertilizer dose and shoot borer,"recommended to apply urea @9kg, dap@ 15kg and mop@11kg per bigha

spray decis 2.8 @2ml/l water , 3 doses at 5 days interval",unknown,unknown,unknown
asking for the control of leaf curl of bitter gourd,recommended to spray  profex super @ 2 ml per litre of water 3 times at an interval of 5 days,unknown,unknown,unknown
the chilli leaf spot,recommend to apply amister top@2ml/lit of water 5 days interval 3 spray,unknown,unknown,unknown
address of rars titabor,"regional research station, aau, titabor, jorhat, assam
 	
dr. t. ahmed  chief scientist
 
  9435514080",unknown,unknown,unknown
asking for the name of growth regulator for goodharvest,recommended to apply biovita,unknown,unknown,unknown
control of tomato fruit rot,recommended to apply saaf @ 2g/lit spray 3 ime at 5 days interval,unknown,unknown,unknown
control measure against anthracnose disease of chilly,advised to spray captan @ 2 gram / liter of water.,unknown,unknown,unknown
fungal disease control in chilli,told him to apply amister @ 2ml/lt of water,unknown,unknown,unknown
the control of aphid in papaya.,recommended him to apply rogor @ 2 ml per liter of water.,unknown,unknown,unknown
mukhya mantri krishi sa sajuli yozana,provided information regarding this scheme and also advised to discussing with the dao of the respective district and also provided a web portal such as www.agri-horti.assam.gov.in for collecting information.,unknown,unknown,unknown
control of red ant in household,recommended to apply malathion 5 % dust or tricel 20 ec for control of red ant,unknown,unknown,unknown
asking for the control of viral attack in bittergourd,recommended to spray profex super @ 2 ml per litre of water 3 times at an interval of 5 days,unknown,unknown,unknown
suspected tympanitis,"decrease the feed for 4-5 days [ like oat meal , maize crush containing feed ] infuse normal saline 3 bottle , floraboost bolus -4 boli at atriat followed by 2 bolus orally twice daily ,bloatosil 120 ml -40 ml orally for two days",unknown,unknown,unknown
the viral disease associated with insect vectors  in cowpea,to apply chloropyrifos 20 ec @2ml /l water 3 spray 5 days interval in morning or evening time,unknown,unknown,unknown
control of of root rot,recommended him to apply saaf @ 2g/lit of water spray 3 time at 5 days interval,unknown,unknown,unknown
"dribbling of saliva & froath from the mouth of a cow , with  history of ingestion of jack fruit bark","told him to infuse normal saline 3 bottle/ atropine sulphate [ tropine] 1 ml s/ c ly / milk of magnesia 1 bottle to induce purgation , rumenotoric bolus [ rumbion , floraboost ]- 2 bolus orally twice in daily / if-- oesophageal obstruction is observed -- introduce stomach tube / fortious  30 ml & anistamin 10 ml-as directed",unknown,unknown,unknown
asking for the dose of npk 19: 19: 19,recommended him to apply 10 gram per litre of water,unknown,unknown,unknown
the control affect of bacterial disease in tomato,apply streptomycin 1g/5litre 2 spray in 7 days interval,unknown,unknown,unknown
report,recommended to spray malathion 50 ec @ 2 ml per litre of water 3 times at an interval of 5 days,unknown,unknown,unknown
asking for the control of  leaf curl of chilli,"spray malathion 50 ec @ 2 ml per litre of water 3 times at an interval of 5 days
spray tata tracel @ 2 gm per litre of water",unknown,unknown,unknown
the fungal infection of tomato plant,"apply fungicide saaf@ 2ml/l of water , 3 spray 5 days interval . apply either morning  or evening  in rain free day",unknown,unknown,unknown
the chilli flowering hormone as well as problem of immature droppings of flower,"apply planofix @1ml/5 l water , 2 spray 15 days interval, should be apply in either morning or in evening",unknown,unknown,unknown
the nutrient managemnt in tea,told him to spray humextra .d.l @ 200gm/ 400l of water,unknown,unknown,unknown
fruit rot disease of tomato,spray profex super 2ml/litre water 2 times at an interval of 5 days and saaf fungicide 2gm/litre water for the fungus infection.,unknown,unknown,unknown
organic certification of mushroom,"enquire it at the golaghat kvk.
phn no.9436227984",unknown,unknown,unknown
control of early shoot borer i sugarcane,recommended to apply tricel 20 ec @ 2ml/lit of water spray 3 time at 3 days interval,unknown,unknown,unknown
asking for availability of paddy seeds,contact dr.f.u.ali ahmed-9436227984 (kvk golaghat),unknown,unknown,unknown
asking  about the nutrient management of bottle gourd,"recommend to apply npk  19 all@ @ 10gm/l of water , 2 spray 15 days interval",unknown,unknown,unknown
asked about white fly problem in bottle gourd,"apply insecticide dursban 20%ec @2ml/litre water,3 spray at an interval of 5 days
or tafgor 30%ec @ 2m/l of water ,3 spray at an interval of 5 days",unknown,unknown,unknown
the fruit fly in bitter gourd and also nutrient management in ridge gourd,"told him to apply for bittergourd - rogor @ 2ml / l of water
ridgegourd - planofix @ 1ml / 5 l of water",unknown,unknown,unknown
initiation of fruits in tomato,spray planofix @ 1ml/5litre water 2 times at an interval of 15 days,unknown,unknown,unknown
16 may rainfall(mm) : 6.3 temp(max/min):30.0  / 21.0  humidity(max/min)91.0  / 92.0  wind:0.0,told her that cutting is mainly used for dahlia propagation,unknown,unknown,unknown
main source of propagation of dahlia,told her that cutting is mainly used for dahlia propagation,unknown,unknown,unknown
non-fruiting in ghost chilli,"spray planofix @ 1ml/l water 2 times 
corriander variety-co1, co2, rcr20, dh5",unknown,unknown,unknown
control measure of leaf eating caterpillar in pumpkin,told him to apply rogor @ 2 ml per litre of water,unknown,unknown,unknown
scheme related to subsidy against power tiller,"contact dr.f.u. ali ahmed-9436227984(kvk golaghat).or go to district agricultural office-address: d. r., college road, golaghat, furkating, assam 785621 and contact the agricultural development officer",unknown,unknown,unknown
the tomato bacterial  wilt,"to control root knot nematode as it makes the plants more susceptible for bacterial wilt of tomato and to make raised beds . secondly , go for ooze test for confirmation of disease then go for application  of antibiotic for controlling the disease",unknown,unknown,unknown
control of leaf miner in lemon,recommended to apply rogor @ 2ml/lit of water spray 3 time at 5 days interval,unknown,unknown,unknown
bacterial blight in tomato,"do ooze test.in case white ooze comes out in the water then spray anti-bacterial cristocycline @1gm/5 litre water,2 spray @ 5 days interval and in case of fungal infection spray saaf fungicide @2gm/litre water,2 spray @ 5 days interval.
for ripening of the tomatoes planofix is recommended @ 1ml/5litre water in 5 days interval",unknown,unknown,unknown
asking for suitable rice variety,suggested-ranjit variety,unknown,unknown,unknown
"the ferilizer requirement in frenchbean, okra, bittergourd and ridge gourd.","recommended him to apply 
french bean- 8 kg urea, 33 kg ssp and 5 mop per bigha of land.
okra-  14 kg urea, 41 kg ssp and 11 kg mop per  bigha of land.
bittergourd- 11 kg urea, 25 kg ssp and 6 kg mop per  bigha of land. 
ridge gourd- 5 kg urea, 25 kg sso and 6 kg mop per  bigha of land.",unknown,unknown,unknown
seed treatment in coriander,"recommended him to soak in water for 12-24 hours, floated seeds should be discarded. seeds should be discarded, treated with captan 50wp 2g/kg of seed",unknown,unknown,unknown
the control of blossom end rot in tomato.,recommended him to apply calcium chloride @ 5 g in 1 liter of water.,unknown,unknown,unknown
nutrient management of pregnant cow,"advised him to give minfa gold @ 30 gm orally daily mixed with feed, calshakti @ 40 ml orally daily mixed with water",unknown,unknown,unknown
hormone deficiency  in   tomato.,advised to spray plano fix   @  1ml/ liter water.,unknown,unknown,unknown
the blossom end rot of tomato,"apply calcium nitrate @ 4 spoon /16 lit of water ( small size), 2 spray at interval of 7 days .",unknown,unknown,unknown
control measure of blossoms end rot and bacterial wilt in tomato,apply calcium sulphate as a foliar spray @ 2% twice at weekly intervals for blossoms end rot and spray agrimycine @ 1 mg per 1 lit of water twice after 4 days interval.,unknown,unknown,unknown
storage of pumpkin,"told him to clean pumpkin and store in dry place 
variety of ridge gourd co 1, co2, pkm 1
apply succinic acid @ 1mg/lit of water to remove bitterness",unknown,unknown,unknown
the dose of fungicide amister top in chilli plant,"partly cloudy with medium rainfall forcast from 22 to 26 th may, 2019. temperature  21 to 29 degree celsius.",unknown,unknown,unknown
the any precautions taken during immature flower droppings  of ash gourd,"told him to apply planofix @ 1ml/5 l of water , 2 spray 15 days interval in case of immature flower droppings",unknown,unknown,unknown
asking for the control of flower fall in bottlegourd,recommended to spray planofix @ 1 ml per 5 litre of water 3 times at an interval of 10 days,unknown,unknown,unknown
varieties for sali rice,"told him the varities ranjit, bahadur, anuhor sali, swarna sub 1",unknown,unknown,unknown
the bottle gourd root treatment,to do root dip treatment with indofil m 45 @ 2gm/l of water.,unknown,unknown,unknown
asking for some variety of capsicum.,told him to go for california wonder or choose seeds of syngenta or mahyco company.,unknown,unknown,unknown
query query regarding  a calf,"told him to give metrozyl m bolus - 1/2 bolus orally twice daily , infuse normal saline 500 ml - 200 ml at a triat  after 1 day- use anigest 30 gm & floraboost bolus orally as directed",unknown,unknown,unknown
the control of fruit rot disease in sponge gourd,to spray saaf @ 2gm/liter of water,unknown,unknown,unknown
control measure of pseudostem  borer,told him to apply rogor @ 2 ml per litre of water,unknown,unknown,unknown
control measure of leaf curl in chilli and also asking about control measure of early blight,spray rogor @ 2 ml per lit of water for leaf curl of chilli and spray ridomil gold @ 2 ml per lit of water for early blight in tomato,unknown,unknown,unknown
some varieties of tomato.,"some varieties of tomato- pusa ruby, arka rakshak etc",unknown,unknown,unknown
control turbidity in pond,told him to apply alum (aluminium sulphate) @ 25mg/lt of water,unknown,unknown,unknown
asking remedy for aphids in capsicum,spray dursban 20% ec @ 2ml/litre water at an interval of 5-6 days,unknown,unknown,unknown
induce flowering,recommended him to apply planofix @1g/lit of water spray 2 time at 15 days interval,unknown,unknown,unknown
control of ammonia in fish pond,"told him to reduce the feed ,apply lime and aeration",unknown,unknown,unknown
control of micro algae in fish pond,told him to apply copper sulphate @ 500ml/10lt of water.,unknown,unknown,unknown
the control of fruit borer in ivy gourd.,recommended him to apply karate @ 2 ml per liter of water.,unknown,unknown,unknown
some pig showing the signs of eating of soil,"told him to  inject imferon 3 ml as directed , / minerax mixture -10 gm orally daily",unknown,unknown,unknown
aphid infection in cowpea,"spray dursban 20% ec @ 2ml/litre water,2 spray at an interval of 7 days",unknown,unknown,unknown
a pregnent sow approaching,told him to give anigest 30 gm / ruchamax  30 gm in two divided doses,unknown,unknown,unknown
the control of flower drop in ridge gourd.,told him to apply planofix @ 1 ml per 5 liter of water.,unknown,unknown,unknown
07 jun rainfall(mm) : 0 temp(max/min):33.0  / 26.0  humidity(max/min)92.0  / 92.0  wind:0.0,07 jun rainfall(mm) : 0 temp(max/min):33.0  / 26.0  humidity(max/min)92.0  / 92.0  wind:0.0,unknown,unknown,unknown
the insect problem of ridge gourd,"apply dursban @ 2ml/l of water, 3 spray at 5 days interval, tafgor 30%ec @ 2ml/l of water @ 2ml/l of water, 3 spray at 5 days intyerval",unknown,unknown,unknown
the insect problem of banana,"apply dursban@ 2ml/l of water, 3 spray at 5 days interval",unknown,unknown,unknown
asking how to store seeds of rice in good condition,recommended to properly dry the seeds properly and pace dried neem leaves with malathion 5 % dust if necessary,unknown,unknown,unknown
helpline number of pmkisan,told him the number 01123381092,unknown,unknown,unknown
the stunted growth of vegetables,"apply vipul @ 2ml / 5 lt of water, 2 spray at 15 days interval",unknown,unknown,unknown
depletion of oxygen in fish pond,disconnected,unknown,unknown,unknown
the control for mosaic virus in papaya.,spray dimethoate 30 ec @ 2ml/lt of water.,unknown,unknown,unknown
call incomplete,spray dimethoate 30 ec @ 2ml/lt of water.,unknown,unknown,unknown
the control of aphids in citrus.,told him to apply tricel 20 ec @  2 ml per liter of water at an interval of 4 days for 3 times.,unknown,unknown,unknown
fertilizer recommendation of paddy.,"told him to apply 18 kg urea, 17 kg ssp and 9 kg mop per bigha of land.",unknown,unknown,unknown
wart like  growth on the body surface,told him to wash the body with cutirose solution / inject  enrofloxacin & chloropheneramine maleate preperation as directed /  topicure for topical spray  / auto haemo therapy [ sos ],unknown,unknown,unknown
the fusarium wilt of chilli,"apply amister top @2ml/l of water, 3 spray at 5 days interval and for confirmation of disease suggested to go for ooze test",unknown,unknown,unknown
the insect problem of ginger,"apply amister top @2ml/l of water, 3 spray at 5 days interval and for confirmation of disease suggested to go for ooze test",unknown,unknown,unknown
